Genre,GenreID
Romance,1
Drama,2
Horror,3
Comedy,4
Crime,5
Fantasy,6
Short,7
Thriller,8
Action,9
Sci-Fi,10
Mystery,11
Music,12
Animation,13
Family,14
Adventure,15
War,16
History,17
Documentary,18
Biography,19
Film-Noir,20
Sport,21
Game-Show,22
Western,23
Reality-TV,24
Musical,25
News,26
Talk-Show,27
Adult,28
